transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3
1-11-2024-10138,11,1,مبايعات,Sales,بيع,Sell,19/03/2024,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,278,منخول,Mankhool,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,1305.29,5769000,4419.71,null,null,8,1,0
3-9-2002-39,9,3,هبات,Gifts,هبه,Grant,25/03/2002,1,أرض,Land,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,365,الحضيبه,Al Hudaiba,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,1466.94,1105300,753.47,null,null,1,1,0
1-11-2016-12930,11,1,مبايعات,Sales,بيع,Sell,02/11/2016,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو أبراج الإمارات,Emirates Towers Metro Station,مول دبي,Dubai Mall,,,0,390,2089900,5358.72,null,null,1,1,0
1-11-2005-300028,11,1,مبايعات,Sales,بيع,Sell,28/02/2005,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,396.09,511612,1291.66,null,null,1,1,0
1-11-2010-17709,11,1,مبايعات,Sales,بيع,Sell,09/12/2010,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,559.18,5700000,10193.5,null,null,1,1,0
1-11-2013-7839,11,1,مبايعات,Sales,بيع,Sell,12/03/2013,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,276,البدع,Al Bada,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو أبراج الإمارات,Emirates Towers Metro Station,مول دبي,Dubai Mall,,,0,362.32,1500000,4139.99,null,null,2,1,0
1-11-1997-36,11,1,مبايعات,Sales,بيع,Sell,15/12/1997,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.35,1300000,6150.93,null,null,1,1,0
1-11-2023-32261,11,1,مبايعات,Sales,بيع,Sell,09/10/2023,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,232.26,6000000,25833.12,null,null,1,2,0
1-11-2007-300075,11,1,مبايعات,Sales,بيع,Sell,24/05/2007,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,2382.96,90000000,37768.15,null,null,1,1,0
1-11-2023-33947,11,1,مبايعات,Sales,بيع,Sell,23/10/2023,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.35,5000000,23657.44,null,null,1,2,0
2-13-2006-715,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,20/06/2006,1,أرض,Land,null,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,422.71,5000000,11828.44,null,null,1,1,0
3-9-2005-74,9,3,هبات,Gifts,هبه,Grant,11/05/2005,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,271,الكرامه,Al Karama,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو بنك أبوظبي التجاري,ADCB Metro Station,مول دبي,Dubai Mall,,,0,211.35,2000000,9462.98,null,null,1,1,0
2-14-2017-1050,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,16/10/2017,2,مبنى,Building,null,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,367,السوق الكبير,Al Suq Al Kabeer,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراس,Al Ras Metro Station,مول دبي,Dubai Mall,,,0,177.26,6000000,33848.58,null,null,7,1,0
2-14-2018-1117,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,17/10/2018,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,267,الرفاعه,Al Raffa,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو الغبيبة,Al Ghubaiba Metro Station,مول دبي,Dubai Mall,,,0,4498.64,125000000,27786.18,null,null,1,1,0
1-11-2002-1741,11,1,مبايعات,Sales,بيع,Sell,24/12/2002,2,مبنى,Building,null,,,تجاري,Commercial,1,العقارات القائمة,Existing Properties,267,الرفاعه,Al Raffa,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو الغبيبة,Al Ghubaiba Metro Station,مول دبي,Dubai Mall,,,0,876.54,15000000,17112.74,null,null,1,1,0
2-43-2022-128,43,2,رهون,Mortgages,تسجيل رهن محافظ,Portfolio Mortgage Registration,07/09/2022,1,أرض,Land,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,269,الحمريه,Al Hamriya,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو برجمان,Burjuman Metro Station,مول دبي,Dubai Mall,,,0,5171.45,382000000,73867.1,null,null,10,1,0
1-11-2005-300101,11,1,مبايعات,Sales,بيع,Sell,19/09/2005,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,269,الحمريه,Al Hamriya,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو برجمان,Burjuman Metro Station,مول دبي,Dubai Mall,,,0,44.67,1000000,22386.39,null,null,1,9,0
1-11-2004-1698,11,1,مبايعات,Sales,بيع,Sell,02/08/2004,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,269,الحمريه,Al Hamriya,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو برجمان,Burjuman Metro Station,مول دبي,Dubai Mall,,,0,1046.27,13600000,12998.56,null,null,3,1,0
2-14-2004-175,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,22/09/2004,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,269,الحمريه,Al Hamriya,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو برجمان,Burjuman Metro Station,مول دبي,Dubai Mall,,,0,5102.23,15000000,2939.89,null,null,8,1,0
2-13-2014-2922,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,08/04/2014,2,مبنى,Building,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,269,الحمريه,Al Hamriya,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو برجمان,Burjuman Metro Station,مول دبي,Dubai Mall,,,0,1688.51,28000000,16582.67,null,null,1,1,0
3-9-2006-300121,9,3,هبات,Gifts,هبه,Grant,18/09/2006,1,أرض,Land,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,266,السطوه,Al Satwa,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو أبراج الإمارات,Emirates Towers Metro Station,مول دبي,Dubai Mall,,,0,19.35,124992,6459.53,null,null,1,1,0
1-11-2021-10599,11,1,مبايعات,Sales,بيع,Sell,23/06/2021,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,266,السطوه,Al Satwa,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,239.23,3000000,12540.23,null,null,3,1,0
1-11-1999-582,11,1,مبايعات,Sales,بيع,Sell,20/09/1999,2,مبنى,Building,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,266,السطوه,Al Satwa,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,232.26,5400000,23249.81,null,null,1,2,0
1-11-2024-26324,11,1,مبايعات,Sales,بيع,Sell,17/07/2024,1,أرض,Land,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,266,السطوه,Al Satwa,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,232.82,5856588,25155,null,null,1,1,0
1-11-2015-12554,11,1,مبايعات,Sales,بيع,Sell,10/08/2015,1,أرض,Land,null,,,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,266,السطوه,Al Satwa,,,null,,,,,برج خليفة,Burj Khalifa,محطة مترو المركز التجاري,Trade Centre Metro Station,مول دبي,Dubai Mall,,,0,234.12,3400000,14522.47,null,null,2,2,0
1-11-2002-532,11,1,مبايعات,Sales,بيع,Sell,27/03/2002,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,264,ند الحمر,Nad Al Hamar,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,1393.55,690000,495.14,null,null,1,1,0
2-13-2001-625,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,30/07/2001,4,فيلا,Villa,null,,,سكني,Residential,1,العقارات القائمة,Existing Properties,264,ند الحمر,Nad Al Hamar,,,null,,,,,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,,,0,2053.16,500000,243.53,null,null,1,1,0
